Employee ID    Category       Sales Amount
******************************************
1257           Hardware             466.12
1548           Hardware             653.38
1234           Software            1140.41
1857           Hardware             705.22
1527           Hardware             637.26
1259           Software             848.01
1244           Hardware             259.74
1245           Hardware            1110.57
1856           Hardware             827.37
1874           Hardware             938.51
1268           Hardware             849.53
1877           Software             577.33
1246           Software            1192.41
1269           Hardware             384.79
1269           Software             637.55
1544           Software             468.48
1227           Software             698.65
1276           Software            1025.37
1247           Software            1065.63
1578           Hardware             734.35
1864           Software            1057.77
1837           Hardware             618.50
1556           Software             462.88
1836           Software             706.03
1228           Software            1136.25
1529           Software             896.80
1245           Software             719.42
1855           Software             396.19
1835           Hardware             887.42
1264           Software            1102.34
1244           Software             455.63
1539           Software             295.46
1279           Software             766.89
1557           Hardware            1044.26
1539           Hardware             693.88
1875           Hardware             666.26
1579           Hardware             657.59
1834           Hardware             641.88
1829           Hardware            1030.76
1528           Software             343.21
1255           Software             289.20
1844           Software             969.31
1579           Hardware             310.81
1235           Software            1030.94
1835           Software            1163.18
1839           Software             804.55
1544           Hardware             796.76
1848           Software            1092.46
1868           Hardware             972.23
1545           Software             676.10
1874           Hardware             840.26
1855           Hardware             856.07
1269           Hardware             520.27
1826           Software             412.10
1859           Hardware            1058.15
1268           Software             410.62
1836           Hardware            1152.93
1275           Software            1183.89
1867           Software             999.11
1856           Software             896.48
1565           Hardware             664.57
1577           Hardware            1049.16
1246           Software             317.00
1559           Software             305.82
1265           Hardware             737.69
1849           Software            1011.54
1275           Hardware             446.50
1546           Hardware             783.49
1237           Hardware             851.98
1878           Hardware             552.70
1865           Software             769.42
1877           Hardware             415.41
1856           Software             709.78
1537           Software             690.00
1578           Software             288.37
1525           Hardware             534.38
1538           Hardware            1159.06
1244           Software             518.55
1859           Software             804.05
1279           Hardware             510.47
1529           Software             615.91
1268           Hardware             259.85
1877           Software             577.94
1278           Software            1051.90
1239           Hardware             982.53
1555           Software             804.88
1226           Software             509.58
1559           Hardware             995.33
1878           Software            1075.70
1857           Software             765.74
1526           Software             808.24
1567           Hardware             614.79
1554           Hardware             539.78
1859           Software            1021.73
1565           Hardware            1166.23
1556           Hardware             404.01
1534           Software             277.18
1849           Software             762.95
1867           Software             423.57
1558           Software             389.27
1259           Hardware             368.36
1856           Software            1040.46
1877           Software             750.26
1246           Software             910.78
1279           Software             485.29
1275           Software             812.83
1265           Hardware             309.02
1245           Hardware             926.52
1235           Software             826.47
1566           Software             489.30
1248           Hardware             435.48
1878           Software             812.62
1837           Software             527.39
1846           Hardware             984.36
1577           Software             299.97
1838           Software             653.21
1839           Software             590.50
1527           Hardware             254.85
1868           Hardware            1089.73
1538           Software            1046.77
1828           Hardware             303.75
1844           Software             354.61
1248           Hardware             671.61
1538           Hardware             387.99
1245           Software            1161.49
1866           Hardware             980.54
1249           Hardware             772.38
1845           Hardware             679.15
1278           Software             286.05
1877           Software             511.24
1577           Hardware             646.39
1267           Hardware             823.96
1569           Software             355.65
1557           Hardware             567.14
1534           Software            1246.85
1569           Software             413.94
1558           Hardware            1017.91
1249           Hardware            1046.04
1828           Software             895.56
1237           Hardware            1040.23
1857           Software             813.84
1874           Software             676.29
1268           Software             462.11
1876           Hardware            1081.03
1569           Software             606.33
1865           Software            1060.37
1849           Hardware            1030.66
1527           Hardware            1001.38
1876           Hardware             493.10
1254           Software            1224.99
1837           Software            1070.15
1558           Hardware            1149.55
1535           Software            1237.24
1569           Software             662.72
1259           Software            1110.02
1227           Hardware            1051.93
1859           Hardware            1177.13
1258           Hardware             885.08
1268           Software             913.50
1559           Hardware            1215.35
1269           Software             660.98
1247           Software             468.16
1828           Hardware            1140.27
1554           Hardware             418.94
1564           Software             962.79
1279           Hardware             594.74
1256           Software             530.74
1837           Hardware             511.50
1839           Hardware             701.82
1856           Software            1104.87
1824           Hardware             569.79
1559           Hardware             713.38
1576           Software             769.61
1559           Software            1040.01
1225           Hardware             658.99
