Base 2              Base 10             Base 16
*****************************************************************
111010010000100     29828               7484                
110111111011010     28634               6FDA                
11010100010000      32766               7515141             
110101101000111     27463               6B47                
110101001101110     27246               6A6E                
111001010101101     65534               51515141            
111011010001001     30345               7689                
111110111011011     65534               51515141            
101110111011110     24030               5313141             
110111110000111     28551               65187               
101101001100000     23136               5A60                
11001101001111      13135               334F                
110101001111000     27256               6A78                
111011001001001     30281               7649                
111110101101111     32111               731651              
100001110110110     17334               43B6                
111101010101000     31400               771118              
101000011110000     20720               55511               
110101111110010     27634               6BF2                
100010010100110     17574               44A6                
110000101010101     24917               6155                
10100000111111      10303               28351               
101011010010110     22166               5696                
11011101010110      14166               3756                
110001011000100     25284               62C4                
11001111011010      13274               33DA                
110111100101110     65534               51515141            
111000001001011     65534               51515141            
110111111110110     28662               651516              
10011110101000      10152               27A8                
101101110101000     23464               5BA8                
11000110001011      12683               31811               
10101000011111      10783               221151              
111010000100100     65534               51515141            
111101111101000     31720               7BE8                
10110101000101      11589               23145               
110000000011011     65534               51515141            
111110001111100     31868               721721              
111111001101011     32363               741611              
100000110110001     16817               41111               
111011011100011     30435               76413               
101110001000110     65534               51515141            
111100110101000     31144               79A8                
110101110000110     27526               61186               
110110001101001     27753               62169               
101010011100011     65534               51515141            
101111100000110     65534               51515141            
110101011111010     27386               6AFA                
10100100110000      10544               2933                
101000100100111     20775               5127                
11010111101010      32766               7515141             
11000011010011      32766               7515141             
100101111011111     19423               4113151             
11000100001011      32766               7515141             
110110100000011     27907               63113               
110000110111101     25021               61BD                
100001110011001     17305               4399                
10101110101101      32766               7515141             
10110000110101      32766               7515141             
10100001010111      10327               2857                
101001011010110     21206               52316               
11110010110011      15539               321113              
100000011100011     16611               44413               
101001110001101     65534               51515141            
10111100011110      12062               2F1E                
101100111001001     22985               59219               
11100010011010      14490               38991               
100101001010010     19026               4A52                
111111001111001     65534               51515141            
110010101110000     25968               6577                
110111100000100     65534               51515141            
100101110011100     19356               411921              
11111111101101      32766               7515141             
11100000000011      32766               7515141             
101111111010010     24530               5FD2                
100101101000111     65534               51515141            
11001000001011      12811               32211               
111000011011110     65534               51515141            
10111101010010      12114               2F52                
100100011110000     65534               51515141            
110011111100101     26597               67415               
11110101010010      15698               33152               
11001110010111      13207               3397                
110010000010110     65534               51515141            
110001011000000     25280               62211               
110101111010110     27606               611316              
11101011111110      15102               3AFE                
101010010100011     21667               54413               
100110011010010     65534               51515141            
101010010101110     65534               51515141            
100110010011110     65534               51515141            
101110101100111     23911               5D67                
11010010100010      13474               34412               
110011110110001     26545               67B1                
111010000101111     29743               74251               
11111100110001      16177               35131               
110100101110001     65534               51515141            
100110000111000     19512               42138               
100101100111001     19257               41139               
101011111000111     22471               57217               
11000100110011      32766               7515141             
11011110011100      14236               37921               
101010100101100     65534               51515141            
110100010001011     26763               68811               
110011100000111     26375               6777                
100010001101000     17512               4468                
101000101001101     20813               514D                
11000000000110      12294               3006                
100100000010000     18448               4811                
11100010101011      14507               38AB                
110101001010110     27222               6A56                
111001010100000     29344               72211               
11111001100101      15973               34165               
110110101010110     65534               51515141            
110011010110100     65534               51515141            
100011101001111     65534               51515141            
11111000011011      15899               341111              
101110101001110     23886               531441              
101001011000111     21191               52C7                
110001001011111     25183               625F                
100111000100101     20005               44125               
110101100011100     27420               611121              
11011010000011      13955               3683                
11010110101001      13737               35A9                
111010110010100     30100               7594                
100001110001010     17290               438A                
11101001001011      32766               7515141             
101110100000110     23814               5D06                
110011000011101     65534               51515141            
111011011011100     65534               51515141            
11000000011001      12313               3319                
100001111101100     17388               43EC                
100011110101110     18350               477141              
101011000000010     65534               51515141            
11110110111111      32766               7515141             
110010101101101     25965               656D                
11011010000001      32766               7515141             
110101000101101     65534               51515141            
11100110011011      14747               399B                
111011100110110     30518               7736                
11000001011100      32766               7515141             
111111001110101     65534               51515141            
10100001011100      10332               285C                
111001001000111     65534               51515141            
111000011110101     28917               70F5                
10111001001010      11850               2E4A                
111100000010000     30736               7811                
100111000101111     65534               51515141            
10011111101101      10221               274131              
11101111111101      32766               7515141             
11101111010010      32766               7515141             
10101101100111      32766               7515141             
111000000111001     28729               7739                
10101100111100      11068               211321              
101101011001101     23245               5512131             
11101100001000      15112               31118               
110101100011011     65534               51515141            
111010111110011     30195               75513               
11101110110101      32766               7515141             
110001111000000     25536               63C0                
110010000000001     25601               6441                
101001101000100     65534               51515141            
110111001011111     28255               641551              
101010111111010     22010               555111              
10110110010010      11666               23192               
111000111000111     29127               71C7                
11010110011000      13720               3598                
110100000100000     26656               6820                
101110001101000     23656               5C68                
11100100011101      32766               7515141             
101110100101100     23852               5D2C                
111001101111011     29563               737B                
111011110100011     65534               51515141            
101011110111111     22463               571151              
11111001011010      15962               3E5A                
10101100001110      11022               211141              
110000000100010     65534               51515141            
11000100000010      32766               7515141             
110100101100111     65534               51515141            
11101010000100      14980               33184               
110101000110101     65534               51515141            
11111001101101      15981               341631              
10111101110010      12146               2F72                
101101100000000     65534               51515141            
10100111010011      10707               29313               
101110000011010     65534               51515141            
111100010000100     65534               51515141            
100010110010010     65534               51515141            
111010101110000     65534               51515141            
100000011100110     16614               40E6                
110111100001011     28427               6F0B                
110001100000000     25344               6300                
100100100010001     65534               51515141            
110010111001100     26060               65CC                
10100101110010      10610               2972                
111110000110111     65534               51515141            
101100101011000     22872               5958                
11110000001110      15374               3C0E                
