Base      Number         
***********************************
10        29828
16        6FDA
2         11010100010000
16        6B47
16        6A6E
2         111001010101101
16        7689
2         111110111011011
10        24030
10        28551
16        5A60
16        334F
16        6A78
16        7649
10        32111
16        43B6
10        31400
10        20720
16        6BF2
16        44A6
16        6155
10        10303
10        22166
16        3756
16        62C4
16        33DA
2         110111100101110
2         111000001001011
10        28662
16        27A8
16        5BA8
10        12683
10        10783
2         111010000100100
16        7BE8
10        11589
2         110000000011011
10        31868
10        32363
10        16817
10        30435
2         101110001000110
16        79A8
10        27526
10        27753
2         101010011100011
2         101111100000110
16        6AFA
10        10544
10        20775
2         11010111101010
2         11000011010011
10        19423
2         11000100001011
10        27907
16        61BD
16        4399
2         10101110101101
2         10110000110101
10        10327
10        21206
10        15539
10        16611
2         101001110001101
16        2F1E
10        22985
10        14490
16        4A52
2         111111001111001
10        25968
2         110111100000100
10        19356
2         11111111101101
2         11100000000011
16        5FD2
2         100101101000111
10        12811
2         111000011011110
16        2F52
2         100100011110000
10        26597
10        15698
16        3397
2         110010000010110
10        25280
10        27606
16        3AFE
10        21667
2         100110011010010
2         101010010101110
2         100110010011110
16        5D67
10        13474
16        67B1
10        29743
10        16177
2         110100101110001
10        19512
10        19257
10        22471
2         11000100110011
10        14236
2         101010100101100
10        26763
10        26375
16        4468
16        514D
16        3006
10        18448
16        38AB
16        6A56
10        29344
10        15973
2         110110101010110
2         110011010110100
2         100011101001111
10        15899
10        23886
16        52C7
16        625F
10        20005
10        27420
10        13955
16        35A9
16        7594
16        438A
2         11101001001011
16        5D06
2         110011000011101
2         111011011011100
10        12313
16        43EC
10        18350
2         101011000000010
2         11110110111111
16        656D
2         11011010000001
2         110101000101101
16        399B
16        7736
2         11000001011100
2         111111001110101
16        285C
2         111001001000111
16        70F5
16        2E4A
10        30736
2         100111000101111
10        10221
2         11101111111101
2         11101111010010
2         10101101100111
10        28729
10        11068
10        23245
10        15112
2         110101100011011
10        30195
2         11101110110101
16        63C0
10        25601
2         101001101000100
10        28255
10        22010
10        11666
16        71C7
16        3598
16        6820
16        5C68
2         11100100011101
16        5D2C
16        737B
2         111011110100011
10        22463
16        3E5A
10        11022
2         110000000100010
2         11000100000010
2         110100101100111
10        14980
2         110101000110101
10        15981
16        2F72
2         101101100000000
10        10707
2         101110000011010
2         111100010000100
2         100010110010010
2         111010101110000
16        40E6
16        6F0B
16        6300
2         100100100010001
16        65CC
10        10610
2         111110000110111
10        22872
16        3C0E
2         100100110010000
2         11110110010010
10        31737
2         100101111010000
16        4E90
16        295C
10        18137
10        15815
16        7675
16        31FE
10        30532
10        29809
2         11110001110110
10        10001
2         100010000100110
10        16955
2         110011011111001
2         11100010110010
10        21879
10        24844
16        4EB3
10        11601
2         100001011110000
2         100101000010111
10        29181
10        27242
10        21549
10        10243
10        16740
2         100101111111110
10        13991
2         111000011001000
2         10110110010011
16        6490
16        3873
2         11001000010000
2         101001000111010
16        4F3A
10        10930
16        50DB
2         100000111100110
2         110101001000001
2         110111111010101
16        45B1
